Name;Age;Rating;Nationality;Club;Position;Potential;Value;Total Stats
G. Pasquale;33;69;Italy;Udinese;LWB;69;625000;1929
Luis García;37;71;Spain;KAS Eupen;CM;71;600000;1906
J. Cole;33;71;England;Coventry City;CAM;71;1100000;1770
D. Yorke;36;68;"Trinidad &amp; Tobago";Sunderland;ST;82;0;1348
Iniesta;36;81;Spain;Vissel Kobe;CAM;81;5500000;2014
D. Odonkor;27;66;Germany;Alemannia Aachen;RW;70;725000;1649
E. Belözoğlu;38;77;Turkey;Fenerbahçe SK;CM;77;2800000;2017
R. Giggs;39;78;Wales;Manchester United;CAM;78;1000;1939
G. Neville  B;35;76;England;Manchester United;CB;82;0;1774
P. Scholes;37;80;England;Manchester United;CAM;80;400000;2065
P. Neville;35;74;England;Everton;CB;74;120000;1868
D. Beckham;37;78;England;;CM;78;0;2012
R. Keane;35;80;Republic of Ireland;LA Galaxy;CF;80;5500000;1974
S. Campbell;35;75;England;Newcastle United;CB;79;0;1581
O. Kahn;38;87;Germany;FC Bayern München;GK;90;0;1196
D. Hamann;36;61;Germany;Milton Keynes Dons;CB;82;0;1698
A. Okocha;33;73;Nigeria;Hull City;CF;90;0;1405
Zulu;26;66;Brazil;Pohang Steelers;ST;72;0;1704
M. Schwarzer;42;73;Australia;Leicester City;GK;73;500000;1111
J. Lehmann;39;79;Germany;VfB Stuttgart;GK;87;0;1224
G. Király;39;69;Hungary;Hungary;GK;69;0;1084
Roberto Carlos;38;79;Brazil;FC Anzhi Makhachkala;CDM;79;0;2207
J. Zanetti;39;75;Argentina;Inter;CDM;75;1000;1874
A. Del Piero;38;70;Italy;Sydney FC;CAM;70;190000;1682
A. Nesta;37;73;Italy;Montreal Impact;CB;73;0;1548
P. Maldini;40;77;Italy;Milan;CB;89;0;1471
G. Buffon;42;82;Italy;Juventus;GK;82;2200000;1292
F. Cannavaro;35;82;Italy;Juventus;CB;89;0;1481
Couto;37;82;Portugal;Parma;CB;84;0;1438
F. Inzaghi;37;73;Italy;Milan;ST;73;350000;1507
C. Abbiati;37;75;Italy;Milan;GK;75;1300000;1160
Marco Paulo;35;61;Portugal;CF Estrela da Amadora;CF;68;0;1300
F. Totti;39;80;Italy;Roma;CAM;80;1500000;1872
C. Seedorf;37;82;Netherlands;Botafogo;CAM;82;2200000;2077
P. Vieira;34;76;France;Manchester City;CDM;87;0;2042
L. Thuram;35;83;France;FC Barcelona;CB;87;0;1540
T. Henry;36;79;France;;CAM;79;0;1882
C. Makélelé;37;74;France;Paris Saint-Germain;CDM;81;0;1740
G. Coupet;37;75;France;Paris Saint-Germain;GK;83;0;1149
O. Solskjær;34;75;Norway;Manchester United;ST;83;0;1432
L. Bowyer;34;69;England;Ipswich Town;CM;69;275000;1870
M. Stekelenburg;37;72;Netherlands;Ajax;GK;72;325000;1150
H. Trabelsi;29;79;Tunisia;Manchester City;RWB;82;0;1418
R. Weidenfeller;36;75;Germany;Borussia Dortmund;GK;75;900000;1058
E. Heskey;37;66;England;Bolton Wanderers;ST;66;80000;1679
Eliseu;33;76;Portugal;SL Benfica;LB;76;3000000;2113
S. Given;40;73;Republic of Ireland;Stoke City;GK;73;500000;1223
K. Ellison;41;58;England;Newport County;ST;58;0;1669
R. Delap;36;63;Republic of Ireland;Burton Albion;CB;63;35000;1786
S. Petrov;32;76;Bulgaria;Aston Villa;CM;76;2200000;1920
Tarantini;36;72;Portugal;Rio Ave FC;CM;72;975000;1923
S. Wright-Phillips;34;68;England;New York Red Bulls;CAM;68;425000;1744
Yuri;37;71;Brazil;SD Ponferradina;ST;71;850000;1755
J. O'Shea;37;66;Republic of Ireland;Reading;CB;66;45000;1463
Ricardo Carvalho;38;79;Portugal;Portugal;CB;79;0;1703
M. Ballack;34;80;Germany;Bayer 04 Leverkusen;CM;80;3200000;2181
Dida;39;75;Brazil;Internacional;GK;75;0;1274
B. Schneider;34;80;Germany;Bayer 04 Leverkusen;CF;88;0;1602
Simão;33;74;Portugal;RCD Espanyol;CAM;74;1200000;1851
A. Radomski;34;63;Poland;Cracovia;CB;63;50000;1698
G. Gattuso;34;78;Italy;FC Sion;CDM;78;825000;1858
C. Reyna;33;76;United States;New York Red Bulls;CM;80;0;1555
Cafu;37;83;Brazil;Milan;CF;88;0;1641
M. Oddo B;35;71;Italy;Lecce;CM;71;130000;1999
B. Mendy;31;63;France;Stade Brestois 29;CB;63;120000;1693
M. Owen;32;74;England;Stoke City;ST;74;1800000;1751
M. Bagayoko;32;71;Mali;Doncaster Rovers;ST;71;850000;1771
J. Carragher;34;77;England;Liverpool;CB;77;825000;1561
F. Lampard;38;78;England;New York City FC;CM;78;575000;2022
Casillas;38;79;Spain;FC Porto;GK;79;1300000;1300
Figo;35;78;Portugal;Inter;CF;86;0;1591
E. Davids;39;64;Netherlands;Barnet;CDM;64;1000;1837
J. Litmanen;39;75;Finland;Finland;CAM;86;0;1736
P. Kluivert;30;81;Netherlands;LOSC Lille;ST;81;0;1604
J. Stam;34;82;Netherlands;Ajax;CB;90;0;1458
E. Gudjohnsen;36;71;Iceland;Molde FK;CF;71;190000;1707
N. Anelka;34;77;France;West Bromwich Albion;ST;77;2100000;1867
A. Gilardino;34;72;Italy;Spezia;ST;72;1600000;1694
D. Trezeguet;35;74;France;Newell's Old Boys;ST;74;1100000;1716
M. Jankulovski;33;72;Czech Republic;Milan;LM;85;0;2044
P. Nedved;35;80;Czech Republic;Juventus;CF;88;0;1708
G. Barry;38;70;England;West Bromwich Albion;CDM;70;375000;1833
D. Stanković;33;78;Serbia;Inter;CAM;78;2700000;1979
F. Ljungberg;33;74;Sweden;Celtic;RM;83;0;1887
K. Kaladze;33;76;Georgia;Genoa;CB;76;1200000;1673
R. Ferdinand;35;75;England;Queens Park Rangers;CB;75;550000;1620
H. Crespo;35;76;Argentina;Parma;ST;76;1700000;1655
A. Cassano;33;76;Italy;Sampdoria;CAM;76;3400000;1676
L. Donovan;35;73;United States;Club León;CAM;73;1800000;1872
A. Pirlo;38;77;Italy;New York City FC;CM;77;2200000;1741
R. van Persie;34;78;Netherlands;Feyenoord;CAM;78;5500000;1876
D. Rommedahl;34;65;Denmark;RKC Waalwijk;CAM;65;150000;1658
G. Heinze;35;74;Argentina;Newell's Old Boys;CB;74;300000;1784
T. Rosický;36;79;Czech Republic;Sparta Praha;CAM;79;4200000;1979
S. Parker;35;72;England;Fulham;CDM;72;350000;1969
O. Daf;35;64;Senegal;FC Sochaux-Montbéliard;CB;64;45000;1560
M. Viduka;33;74;Australia;;ST;81;0;1487
L. Scaloni;36;65;Argentina;Atalanta;CB;65;0;1756
Manuel Pablo;39;67;Spain;Deportivo de La Coruña;CDM;67;0;1742
A. Robben;36;80;Netherlands;FC Groningen;CAM;80;5000000;1970
Y. Benayoun;33;76;Israel;Queens Park Rangers;CAM;76;1900000;1912
S. Eto'o;36;81;Cameroon;Atiker Konyaspor;ST;81;6500000;2019
C. Bellamy;33;73;Wales;Cardiff City;CAM;73;875000;2003
R. van Nistelrooy;34;77;Netherlands;Málaga CF;ST;77;2100000;1784
Xavi;34;86;Spain;FC Barcelona;CAM;86;15500000;2104
M. Heinz;31;64;Czech Republic;KSV 1919;CF;82;0;1321
C. Porter;36;63;England;Crewe Alexandra;ST;63;130000;1615
T. Dellas;35;72;Greece;AEK Athens;CB;72;210000;1566
G. Asamoah;33;66;Germany;SpVgg Greuther Fürth;ST;66;325000;1780
M. Klose;37;79;Germany;Lazio;ST;79;1300000;1770
M. Gilks;38;64;Scotland;Bolton Wanderers;GK;64;45000;1074
A. Stansfield;30;57;England;Exeter City;ST;63;0;1202
C. Lupatelli;36;68;Italy;Fiorentina;GK;68;450000;1145
S. Keita;35;76;Mali;Roma;CB;76;900000;1954
O. Hargreaves   B;30;78;England;Manchester City;CDM;78;3000000;2106
J. Riise;34;72;Norway;Aalesunds FK;CDM;72;1000000;2043
A. Friedrich;33;74;Germany;Chicago Fire;CB;74;775000;1683
Puyol;35;83;Spain;FC Barcelona;CB;83;1300000;1853
A. Shevchenko;32;77;Ukraine;Ukraine;ST;85;0;1505
W. Brown;36;66;England;Blackburn Rovers;CB;66;0;1461
J. Terry;36;76;England;Aston Villa;CB;76;1000000;1646
A. Smith;36;61;England;Notts County;CB;61;80000;1666
S. Gerrard;36;81;England;LA Galaxy;CM;81;1400000;2154
Sun Jihai;31;64;China PR;China PR;CF;75;0;1344
